2020-11-13 12:46:24,530 [pool-6-IoTDB-RPC-Client-thread-63] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,532 [pool-6-IoTDB-RPC-Client-thread-22] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-1] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-80 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-90] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-54 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-111] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-105 
2020-11-13 12:46:24,530 [pool-6-IoTDB-RPC-Client-thread-82] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,532 [pool-6-IoTDB-RPC-Client-thread-90] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,530 [pool-6-IoTDB-RPC-Client-thread-41] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,530 [pool-6-IoTDB-RPC-Client-thread-105] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-67] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-76 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-29] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-37 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-21] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-9 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-31] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-109 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-108] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-102 
2020-11-13 12:46:24,533 [pool-6-IoTDB-RPC-Client-thread-21] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-57] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-74 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-102] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-54] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-89 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-95] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-10] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-81 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-100] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-70 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-89] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-114 
2020-11-13 12:46:24,524 [pool-6-IoTDB-RPC-Client-thread-14] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-60 
2020-11-13 12:46:24,531 [pool-6-IoTDB-RPC-Client-thread-64] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
